766,0.207
767,0.196
768,0.185
769,0.174
770,0.164
771,0.153
772,0.144
773,0.134
774,0.125
775,0.116
776,0.107
777,0.099
778,0.091
779,0.083
780,0.076
781,0.069
782,0.062
783,0.056
784,0.050
785,0.044
786,0.039
787,0.034
788,0.030
789,0.026
790,0.022
791,0.018
792,0.012
793,0.009
794,0.007
795,0.005
796,0.003
797,0.002
798,0.001
799,0.000
800,0.000
